chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	5747164	5747164	-	3.00546080694593e-13	2.45075511754216e-11	49.2032646715896	uc.9	Npbwr1	(+170234)
chr1	5820213	5820213	+	1.90767350764616e-05	9.70081679199368e-05	-42.2672672672673	uc.10	Npbwr1	(+97185),
chr1	5916315	5916315	-	4.27630519484133e-13	3.30372152976407e-11	58.3710407239819	uc.11	Npbwr1	(+1083),
chr1	14085033	14085033	+	3.6429820384535e-18	1.42555697672564e-15	66.6666666666667	uc.47	Xkr9	(+416263)
chr1	34033086	34033086	-	2.32301612803365e-08	3.57472933268115e-07	44.2442442442442	uc.129	Ccdc115	(+406586)
chr1	34068818	34068818	-	1.69986294126711e-07	1.90762668755756e-06	-42.2072623419013	uc.130	Ccdc115	(+370854),
chr1	34089387	34089387	+	2.43630098115343e-10	7.54529446485607e-09	-60.5855855855856	uc.131	Ccdc115	(+350285),
chr1	34109784	34109784	+	8.81946973583329e-15	1.19938302680888e-12	-50.9848484848485	uc.132	Ccdc115	(+329888),
chr1	34240163	34240163	-	1.18660832638139e-10	4.09471855654155e-09	46.477850399419	uc.133	Ccdc115	(+199509),
chr1	34289393	34289393	+	1.16791309375607e-05	6.46383038576665e-05	50.9243697478992	uc.134	Ccdc115	(+150279),
chr1	34297070	34297070	+	5.32129081907825e-09	1.03074208503714e-07	-43.7758799171843	uc.135	Ccdc115	(+142602),
chr1	34418108	34418108	+	8.52847626518232e-11	3.0953154574133e-09	62.7906976744186	uc.136	Ccdc115	(+21564),
chr1	37912142	37912142	+	1.35555584855991e-10	4.58550435754496e-09	45.34375	uc.179	Mrpl30	(+21666)
chr1	45662597	45662597	-	8.52346605601087e-08	1.06574788884443e-06	-40.7828282828283	uc.240	Wdr75	(-132569)
chr1	51323734	51323734	-	1.06204763198726e-19	6.95286496701449e-17	53.8095238095238	uc.265	Nabp1	(+154665)
chr1	51778495	51778495	+	8.75025453888932e-07	7.4920570917914e-06	-47.7637130801688	uc.266	Nabp1	(-300097),
chr1	51853468	51853468	+	1.27221596595475e-06	1.02578189879276e-05	53.3333333333333	uc.267	Nabp1	(-375070),
chr1	51894248	51894248	+	7.41278526890387e-10	1.93895400749339e-08	69.3768996960486	uc.268	Nabp1	(-415850),
chr1	51910107	51910107	+	1.45546723272142e-13	1.31534368703581e-11	57.0425008781173	uc.269	Nabp1	(-431709),
chr1	58659197	58659197	+	1.01855792327251e-12	7.02569618862519e-11	46.9883040935672	uc.306	Ndufb3	(+72814)
chr1	74737470	74737470	-	4.93976803569895e-08	6.75028478426273e-07	63.3333333333333	uc.417	Prkag3	(+11485)
chr1	74745717	74745717	-	4.92385227366767e-06	3.15887894993192e-05	-45.1612903225806	uc.418	Prkag3	(+3238),
chr1	86400444	86400444	+	0.00152483140174973	0.00356462433210656	41.4193548387097	uc.530	Nmur1	(-11101)
chr1	88577598	88577598	-	6.75839003596719e-12	3.54799822602569e-10	47.6609796367639	uc.548	Glrp1	(-67533)
chr1	97767938	97767938	-	6.76811273180974e-09	1.26219801977386e-07	49.0846681922197	uc.672	Gin1	(-2234)
chr1	118279472	118279472	+	0.000165910085004394	0.000576840827572381	44.4444444444444	uc.746	Tsn	(+31944)
chr1	118317888	118317888	-	5.25483509680217e-09	1.01952200276224e-07	44.7337962962963	uc.747	Nifk	(-3951)
chr1	120160314	120160314	-	2.39727347748228e-21	2.54238960322401e-18	50.8529411764706	uc.764	3110009E18Rik	(+39120),
chr1	120160321	120160321	+	2.46037303681718e-13	2.05821331603925e-11	-70.5484896661367	uc.765	3110009E18Rik	(+39127),
chr1	120160327	120160327	+	3.15637152966558e-09	6.62066507800793e-08	-47.0588235294118	uc.766	3110009E18Rik	(+39133),
chr1	120160328	120160328	-	1.97901026323156e-07	2.16641956790719e-06	-49.2307692307692	uc.767	3110009E18Rik	(+39134),
chr1	120160377	120160377	-	1.39619863980509e-09	3.31722124732038e-08	-67.3846153846154	uc.768	3110009E18Rik	(+39183),
chr1	120160379	120160379	+	1.75309512586561e-06	1.34021260005735e-05	-47.0190779014308	uc.769	3110009E18Rik	(+39185),
chr1	120175914	120175914	+	3.14327668608168e-11	1.31693978964016e-09	-58.8888888888889	uc.770	3110009E18Rik	(+54720),
chr1	120210417	120210417	+	1.93200088963913e-13	1.6726796329385e-11	-47.6121452548062	uc.771	3110009E18Rik	(+89223),
chr1	120218284	120218284	-	4.62432189866819e-07	4.40096822792757e-06	51.8318965517241	uc.772	3110009E18Rik	(+97090),
chr1	120236386	120236386	-	3.17184280011409e-09	6.64832161737125e-08	-51.5151515151515	uc.773	3110009E18Rik	(+115192)
chr1	124921995	124921995	+	1.53045705526781e-16	3.603050131715e-14	68.5915492957746	uc.796	Actr3	(+513552)
chr1	124922075	124922075	+	4.21825102599877e-06	2.78128482560646e-05	45.5	uc.797	Actr3	(+513472),
chr1	125031536	125031536	-	1.13639474249348e-08	1.96017049908744e-07	62.6451612903226	uc.798	Actr3	(+404011),
chr1	125091368	125091368	-	1.49966196600895e-11	7.00143984074238e-10	-43.2187730968219	uc.799	Actr3	(+344179),
chr1	125265708	125265708	+	3.08746712710353e-07	3.13915664234133e-06	-41.9480519480519	uc.800	Actr3	(+169839),
chr1	125384605	125384605	+	6.37967826794579e-10	1.70711193961382e-08	-48.8372093023256	uc.801	Actr3	(+50942),
chr1	133068899	133068899	-	3.56535686789812e-14	3.96536953550556e-12	-80	uc.860	Ppp1r15b	(-62244),
chr1	133068903	133068903	-	4.25088494182832e-11	1.7060913656797e-09	-66.6666666666667	uc.861	Ppp1r15b	(-62240),
chr1	133068926	133068926	-	2.36250930049496e-07	2.51122945953199e-06	-48.6486486486487	uc.862	Ppp1r15b	(-62217),
chr1	133084165	133084165	-	2.27808212188326e-06	1.66727760473711e-05	-42.3445716053201	uc.863	Ppp1r15b	(-46978),
chr1	133096358	133096358	-	3.83885924182551e-09	7.81459703450635e-08	-44.4444444444444	uc.864	Ppp1r15b	(-34785),
chr1	133100970	133100970	+	7.82711026004741e-10	2.03251094915251e-08	61.9369369369369	uc.865	Ppp1r15b	(-30173),
chr1	133159324	133159324	+	6.0810763434653e-07	5.53291150336878e-06	-46.4373464373464	uc.866	Ppp1r15b	(+28182),
chr1	133162805	133162805	+	3.51383571796631e-09	7.24613042417389e-08	-51.1922881785895	uc.867	Ppp1r15b	(+31663),
chr1	133163059	133163059	-	2.40563095150536e-16	5.31256117615708e-14	-55.8982511923688	uc.868	Ppp1r15b	(+31917),
chr1	133167435	133167435	-	7.55142756828799e-15	1.05020176215738e-12	55.1052395879982	uc.869	Ppp1r15b	(+36293),
chr1	133168523	133168523	-	1.3484105668223e-15	2.37220055891398e-13	54.251012145749	uc.870	Ppp1r15b	(+37381),
chr1	133171376	133171376	+	3.33301150903652e-07	3.34705375519141e-06	-43.2098765432099	uc.871	Ppp1r15b	(+40234),
chr1	133171394	133171394	+	5.04450826642116e-08	6.86895145144503e-07	47.3484848484849	uc.872	Ppp1r15b	(+40252),
chr1	133171445	133171445	-	2.40514632136528e-07	2.54848891506044e-06	43.8620071684588	uc.873	Ppp1r15b	(+40303),
chr1	133193223	133193223	+	6.10725618882712e-07	5.55407913546692e-06	41.5384615384615	uc.874	Ppp1r15b	(+62081)
chr1	133703746	133703746	+	8.72160539639091e-08	1.08680892620269e-06	48.5265977803291	uc.885	Lax1	(-13639)
chr1	133729795	133729795	+	5.97858883359856e-12	3.19384921359018e-10	-60	uc.886	Lax1	(-39688),
chr1	138452142	138452142	+	8.06972304957211e-10	2.08570942675308e-08	63.3333333333333	uc.946	Nek7	(+167607)
chr1	138577114	138577114	+	3.60449019889687e-08	5.17531960196965e-07	43.421052631579	uc.947	Nek7	(+42635),
chr1	138756209	138756209	-	1.94205784398204e-09	4.38405013773132e-08	56.280193236715	uc.948	Nek7	(-136461),
chr1	138832827	138832827	-	2.98184350284069e-13	2.43365170872698e-11	58.3885772565018	uc.949	Nek7	(-213079),
chr1	139196061	139196061	-	2.25699410592419e-07	2.4159697835526e-06	-42.4242424242424	uc.950	Dennd1b	(+232353),
chr1	139253496	139253496	+	2.84932682565131e-09	6.06153194072565e-08	48.663967611336	uc.951	Dennd1b	(+289788)
chr1	155675630	155675630	-	1.47286277129742e-12	9.56751503004888e-11	48.302119777732	uc.1029	Acbd6	(+117509),
chr1	155675848	155675848	-	2.03267627782541e-20	1.64681984102947e-17	62.8420303122775	uc.1030	Acbd6	(+117727),
chr1	155717628	155717628	-	3.83652986463984e-10	1.10898718461015e-08	-47.2879504914452	uc.1031	Acbd6	(+159507)
chr1	156779513	156779513	+	3.64829335206417e-05	0.00016572025274418	-43.0385930630191	uc.1040	Fam20b	(-60442)
chr1	156780078	156780078	+	6.91506022351894e-18	2.44611676310616e-15	71.2284730195178	uc.1041	Fam20b	(-61007),
chr1	163710468	163710468	-	1.72876166252776e-07	1.93545827211442e-06	52.5482434438397	uc.1080	Mettl11b	(+14764)
chr1	167046869	167046869	-	9.59687090413028e-13	6.67838415476501e-11	61.9591836734694	uc.1112	Uck2	(+238451)
chr1	167214055	167214055	+	2.70484514290289e-20	2.10794083699477e-17	-69.0111642743222	uc.1113	Uck2	(+71265),
chr1	167232920	167232920	+	6.87580821563574e-06	4.16878896325085e-05	-45.4545454545455	uc.1114	Uck2	(+52400),
chr1	167249814	167249814	-	1.22331776378463e-06	9.93021241768483e-06	-53.0172413793103	uc.1115	Uck2	(+35506),
chr1	167279199	167279199	+	6.0372792221298e-10	1.62929907132391e-08	42.1052631578947	uc.1116	Uck2	(+6121),
chr1	167609538	167609538	+	7.89783337782252e-09	1.4396514688625e-07	42.3284976641259	uc.1122	Lmx1a	(-80019),
chr1	167640830	167640830	+	2.95908771047372e-08	4.38210920116596e-07	54.9019607843137	uc.1123	Lmx1a	(-48727),
chr1	167744690	167744690	-	1.91196083667854e-06	1.44016256360101e-05	42.8571428571429	uc.1124	Lmx1a	(+55134),
chr1	167911658	167911658	+	6.05982719386588e-12	3.2303767800953e-10	-59.5849802371541	uc.1125	Lmx1a	(+222102),
chr1	167927500	167927500	+	1.87902437849842e-06	1.4194558601743e-05	54.4642857142857	uc.1126	Lmx1a	(+237944),
chr1	167927563	167927563	+	6.11744948756456e-09	1.15940318531556e-07	-50	uc.1127	Lmx1a	(+238007),
chr1	167940726	167940726	+	4.17749885815118e-17	1.1681312603485e-14	-67.1528471528471	uc.1128	Lmx1a	(+251170),
chr1	167940923	167940923	+	1.75365915415365e-11	7.99408905438904e-10	40.2597402597403	uc.1129	Lmx1a	(+251367),
chr1	168048814	168048814	-	3.37934661487769e-11	1.40076356302255e-09	-57.1428571428571	uc.1130	Lmx1a	(+359258),
chr1	168214905	168214905	+	7.19932252056742e-17	1.86931397533573e-14	59.1341991341991	uc.1131	Lmx1a	(+525349),
chr1	168216377	168216377	+	2.18280508997959e-10	6.8648359234423e-09	41.7560653573197	uc.1132	Lmx1a	(+526821),
chr1	168216400	168216400	+	9.23520499523137e-09	1.64356011305406e-07	49.0196078431373	uc.1133	Lmx1a	(+526844),
chr1	168216416	168216416	-	4.89628406043494e-09	9.60241213769284e-08	42.2222222222222	uc.1134	Lmx1a	(+526860),
chr1	168225553	168225553	-	4.39670509535742e-06	2.87780654247781e-05	-51.0416666666667	uc.1135	Lmx1a	(+535997)
chr1	171133645	171133645	-	6.23644738244497e-07	5.65055002170178e-06	-53.4659090909091	uc.1149	Sdhc	(+16958)
chr1	171143262	171143262	+	1.10938794429189e-09	2.73285390296218e-08	-41.6629162916292	uc.1150	Sdhc	(+7341),
chr1	172349005	172349005	+	2.32668831956239e-06	1.69738706972259e-05	-41.3402692778458	uc.1169	Pigm	(-27541),
chr1	172349139	172349139	-	3.75956129868364e-09	7.67749911922981e-08	40.9090909090909	uc.1170	Pigm	(-27407),
chr1	172359372	172359372	-	6.38426887790824e-09	1.20176879062189e-07	-47.4108170310702	uc.1171	Pigm	(-17174),
chr1	172369448	172369448	+	7.69897874230817e-11	2.83409676850568e-09	50.9355509355509	uc.1172	Pigm	(-7098),
chr1	172369449	172369449	-	3.68104384908327e-09	7.54196474514947e-08	43.6948624805397	uc.1173	Pigm	(-7097),
chr1	172467274	172467274	-	1.82990303139675e-09	4.17254532423377e-08	46.2962962962963	uc.1174	Pigm	(+90729)
