chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	12808736	12808736	-	8.30362725543149e-20	1.53598170156651e-17	-54.2857142857143	uc.52	Slco5a1	(+182399)
chr1	12808747	12808747	-	2.60025565848798e-09	2.93115474683931e-08	-43.2429174201326	uc.53	Slco5a1	(+182388),
chr1	12808759	12808759	-	2.45244573092163e-17	2.43935881814067e-15	-48.5714285714286	uc.54	Slco5a1	(+182376),
chr1	12852117	12852117	-	6.15548548321828e-08	4.5954064587026e-07	-58.9473684210526	uc.55	Slco5a1	(+139018),
chr1	12971923	12971923	-	2.74245754862313e-16	2.06465220664568e-14	61.9718309859155	uc.56	Slco5a1	(+19212),
chr1	13020850	13020850	-	3.81970819986831e-24	2.08323986311958e-21	56.25	uc.57	Slco5a1	(-29716),
chr1	13029385	13029385	+	1.39248820704182e-14	6.67880932702737e-13	-76.271186440678	uc.58	Slco5a1	(-38251),
chr1	13064180	13064180	+	4.10517204764429e-11	7.74680090712809e-10	-47.40625	uc.59	Slco5a1	(-73046),
chr1	13064261	13064261	-	1.18889693096057e-12	3.42200037847703e-11	-41.6666666666667	uc.60	Slco5a1	(-73127),
chr1	13659713	13659713	-	1.03150461361109e-10	1.73801375241011e-09	-51.6129032258064	uc.63	Lactb2	(+833)
chr1	38946081	38946081	-	1.22857638949518e-05	4.36238351182466e-05	-51.6908212560386	uc.280	Nms	(+6933),
chr1	38946098	38946098	-	1.9277393232062e-15	1.16892180202284e-13	-87.6006441223832	uc.281	Nms	(+6950)
chr1	57125593	57125593	-	1.74085848054605e-18	2.30702886122074e-16	-66.025641025641	uc.406	1700066M21Rik	(-252027)
chr1	69545422	69545422	-	1.26652651544802e-05	4.47690910258664e-05	-43.1082981715893	uc.483	Ikzf2	(+140399)
chr1	69545498	69545498	-	5.29684159542284e-06	2.12410718234976e-05	-44.0928270042194	uc.484	Ikzf2	(+140323),
chr1	69789002	69789002	+	1.21795320939901e-15	7.74437450984439e-14	-59.5804988662131	uc.485	Ikzf2	(-103182),
chr1	80240104	80240104	+	1.37070439517969e-06	6.68177058635319e-06	-41.713747645951	uc.617	Cul3	(+100376)
chr1	80444045	80444045	+	3.12135496646848e-05	9.65008275592294e-05	-49.4186046511628	uc.618	Cul3	(-103566),
chr1	80520419	80520419	-	4.70158745846098e-19	7.22449597327551e-17	48.7869279044849	uc.619	Cul3	(-179940),
chr1	80586799	80586799	-	6.67956543552763e-12	1.56528997646479e-10	-50	uc.620	Cul3	(-246320),
