chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	11853865	11853865	-	6.18679625672572e-11	1.52095411012796e-09	54.0540540540541	uc.30	Sulf1	(-838412),
chr1	11853889	11853889	-	6.55921612350097e-21	2.95602608272731e-18	90	uc.31	Sulf1	(-838388),
chr1	12138330	12138330	+	6.69476461512805e-14	4.07120373009119e-12	41.1297852474323	uc.32	Sulf1	(-553947),
chr1	12264327	12264327	-	1.93697401969741e-12	7.58257678631976e-11	-42.1052631578947	uc.33	Sulf1	(-427950),
chr1	12704576	12704576	-	1.02731692716843e-12	4.36688977720342e-11	-55.3810868031052	uc.34	Sulf1	(+12300),
chr1	12808616	12808616	+	1.03323990580972e-15	1.05850605734144e-13	42.8571428571429	uc.35	Sulf1	(+116340)
chr1	13529875	13529875	+	4.61685375339137e-08	4.51007896708318e-07	53.0920060331825	uc.39	Tram1	(+60035)
chr1	13659712	13659712	+	1.76690666688226e-06	1.00225557329065e-05	43.8725490196078	uc.40	Lactb2	(+834)
chr1	16758528	16758528	-	1.35185835594055e-10	2.98790936465139e-09	40.3508771929825	uc.59	Jph1	(+339361)
chr1	16781038	16781038	-	1.34782978672882e-10	2.97966062807566e-09	42.3374470436544	uc.60	Jph1	(+316851),
chr1	16882912	16882912	-	4.80121830160231e-08	4.66245066918551e-07	-45.2406417112299	uc.61	Jph1	(+214977),
chr1	20893246	20893246	+	2.27259635655912e-12	8.69490315237349e-11	67.5837742504409	uc.80	Efhc1	(-58442),
chr1	20893251	20893251	+	2.04380238147319e-08	2.24499092623658e-07	54.0035273368607	uc.81	Efhc1	(-58437)
chr1	24389073	24389073	+	6.46560772445518e-07	4.28690003591215e-06	-40.2449324324324	uc.88	Col9a1	(+211464)
chr1	24645980	24645980	+	4.06636079406232e-07	2.89637952971038e-06	-43.6219431592862	uc.89	Lmbrd1	(-32650),
chr1	24675440	24675440	-	6.10081297281661e-10	1.09653012115592e-08	-65.9420289855072	uc.90	Lmbrd1	(-3190),
chr1	25177872	25177872	+	5.02790321829984e-16	5.63634799780172e-14	64.7420634920635	uc.91	Lmbrd1	(+499243),
chr1	25236546	25236546	-	7.59309118271552e-07	4.90713598559625e-06	-50	uc.92	Lmbrd1	(+557917)
chr1	31734348	31734348	-	4.10000540398278e-11	1.06540637379151e-09	50	uc.118	Pih1d3	(+511511),
chr1	31820306	31820306	-	1.85038661385581e-13	9.87844706499483e-12	47.6190476190476	uc.119	Pih1d3	(+597469),
chr1	31820372	31820372	-	2.38554690276991e-11	6.67673246402414e-10	-50	uc.120	Pih1d3	(+597535)
chr1	34942995	34942995	-	9.62540545754262e-07	5.99316874025075e-06	-51.1592741935484	uc.143	Plekhb2	(+93004),
chr1	35120852	35120852	-	1.97842516212557e-13	1.04798785384782e-11	65.2362062747927	uc.144	Plekhb2	(+270861),
chr1	35393802	35393802	+	9.85074263515815e-09	1.20107796837672e-07	47.1320346320346	uc.145	Plekhb2	(+543811),
chr1	35429135	35429135	-	2.50522028074902e-10	5.08938367400423e-09	-47.6724137931035	uc.146	Plekhb2	(+579144)
chr1	36568340	36568340	+	1.22127270862478e-06	7.32919481429931e-06	-41.3469387755102	uc.159	Sema4c	(-10815)
chr1	36568341	36568341	-	5.7913558639266e-16	6.38185007798598e-14	-53.3895297249334	uc.160	Sema4c	(-10816),
chr1	36580192	36580192	-	4.35880375548011e-07	3.07299093132869e-06	41.2063492063492	uc.161	Sema4c	(-22667),
chr1	36580219	36580219	-	2.82965015822595e-12	1.04877981496186e-10	57.5396825396825	uc.162	Sema4c	(-22694),
chr1	36611628	36611628	+	7.5517760119861e-14	4.52493644269713e-12	-42.2334357174199	uc.163	Sema4c	(-54103),
chr1	39338596	39338596	+	2.41222091397752e-16	2.98186320995094e-14	-44.5652173913043	uc.184	Rpl31	(-29246),
chr1	39382891	39382891	-	1.22510599447632e-08	1.4496425933544e-07	-44.8275862068966	uc.185	Rpl31	(+15050),
chr1	39389370	39389370	+	1.50727942697362e-15	1.47353969856129e-13	57.0872203604746	uc.186	Rpl31	(+21529),
chr1	39394148	39394148	+	4.24420389163553e-10	8.03159064733723e-09	46.186117467582	uc.187	Rpl31	(+26307)
chr1	39535004	39535004	-	1.15887981205753e-10	2.6203073959682e-09	58.8235294117647	uc.188	Cnot11	(+13)
chr1	40804490	40804490	-	1.05213404948849e-07	9.13387330690893e-07	-50.2024291497976	uc.201	Tmem182	(-1111),
chr1	40879565	40879565	+	2.69575797879917e-05	9.93065324830736e-05	-41.6666666666667	uc.202	Tmem182	(+73965),
chr1	40955326	40955326	+	2.27388170817603e-07	1.76349535009129e-06	42.7118644067797	uc.203	Tmem182	(+149726),
chr1	40955330	40955330	+	3.31147924444523e-13	1.63710888348749e-11	44.0677966101695	uc.204	Tmem182	(+149730),
chr1	40968233	40968233	-	2.94310707043551e-12	1.08632426199681e-10	40.0633883028772	uc.205	Tmem182	(+162633),
chr1	40977043	40977043	+	6.34794976010757e-07	4.22120844558295e-06	42.9045092838196	uc.206	Tmem182	(+171443),
chr1	41157209	41157209	-	1.89430321435309e-10	3.99946833127959e-09	-40.2315095228481	uc.207	Tmem182	(+351609),
chr1	41257810	41257810	+	1.72593281135452e-10	3.69019786952903e-09	-49.8717948717949	uc.208	Tmem182	(+452210),
chr1	41462754	41462754	+	0.00018457788317196	0.000496826020194707	-42.9245283018868	uc.209	Tmem182	(+657154)
chr1	44203109	44203109	-	7.78392324538423e-11	1.85659309306492e-09	56.3767713253682	uc.218	Mettl21e	(+15852)
chr1	44343231	44343231	+	4.65646305602532e-12	1.61731218583545e-10	51.2745098039216	uc.219	Mettl21e	(-124271),
chr1	44348755	44348755	-	3.23112386461292e-09	4.60618179566856e-08	-40.5405405405405	uc.220	Mettl21e	(-129795),
chr1	44491684	44491684	-	1.68366538315126e-11	4.92419019601881e-10	-76.6666666666667	uc.221	Mettl21e	(-272724),
chr1	55104100	55104100	-	7.63654539992408e-07	4.93078393583247e-06	43.7405731523379	uc.258	Hspe1	(+15969)
chr1	58651803	58651803	+	1.19018804675896e-07	1.01457596606933e-06	-47.7272727272727	uc.276	Ndufb3	(+65420)
chr1	63968316	63968316	-	1.6383691120705e-10	3.52956583905445e-09	46.4774951076321	uc.304	4933402D24Rik	(-199050)
chr1	71629376	71629376	+	1.2172626563582e-09	1.98506065430284e-08	43.785046728972	uc.340	Fn1	(+23799)
chr1	71838183	71838183	-	4.21554535788114e-08	4.17078142315523e-07	55.1487414187643	uc.341	Fn1	(-185009),
chr1	71896283	71896283	+	2.75899762339095e-06	1.46030887071871e-05	47.3593073593074	uc.342	Fn1	(-243109),
