chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	5052431	5052431	+	1.75432717310983e-10	3.67465899929034e-09	-47.012987012987	uc.6	Tcea1	(+194394),
chr1	5052538	5052538	-	7.17398615092668e-11	1.68776428763172e-09	-40.8450704225352	uc.7	Tcea1	(+194501)
chr1	5170313	5170313	-	1.86160529832819e-10	3.86947854488554e-09	40.4761904761905	uc.8	Oprk1	(-418180),
chr1	5299404	5299404	+	1.08716127207436e-07	9.51716226982197e-07	-53.3013205282113	uc.9	Oprk1	(-289089),
chr1	5320283	5320283	+	3.82915681671181e-07	2.7890731654131e-06	-41.7512096144842	uc.10	Oprk1	(-268210),
chr1	5320571	5320571	-	5.22456111109391e-11	1.28201335983096e-09	-41.6666666666667	uc.11	Oprk1	(-267922),
chr1	5526704	5526704	-	3.66952872810573e-12	1.2576278804726e-10	-47.8580990629183	uc.12	Oprk1	(-61789),
chr1	5916315	5916315	-	4.12500859012522e-08	4.13950782393104e-07	45.3612027869454	uc.13	Oprk1	(+327823)
chr1	6645177	6645177	-	1.1638867739266e-05	5.0574425742605e-05	-41.0628019323672	uc.18	Pcmtd1	(-443743),
chr1	7307173	7307173	-	9.08428127263548e-14	4.96217167913285e-12	60	uc.19	Pcmtd1	(+218254),
chr1	7518868	7518868	+	6.93005576932544e-07	4.61449003580354e-06	-44.1348973607038	uc.20	Pcmtd1	(+429949),
chr1	7519129	7519129	-	9.29596592296276e-08	8.31702588485628e-07	42.8571428571429	uc.21	Pcmtd1	(+430210),
chr1	7612584	7612584	-	4.0570264092689e-09	5.59592077670397e-08	47.014652014652	uc.22	Pcmtd1	(+523665),
chr1	7709929	7709929	-	7.04122873274198e-12	2.22369203063521e-10	-59.654871122761	uc.23	Pcmtd1	(+621010),
chr1	7713029	7713029	-	7.43168629754936e-11	1.73973119424628e-09	55.2348613469157	uc.24	Pcmtd1	(+624110),
chr1	7713100	7713100	-	1.82760859655976e-15	1.58708106357261e-13	58.6124401913876	uc.25	Pcmtd1	(+624181),
chr1	7742149	7742149	-	2.07548109412777e-17	3.04235088955929e-15	-69.2393736017897	uc.26	Pcmtd1	(+653230)
chr1	9603264	9603264	+	6.93023611355851e-08	6.45763236519237e-07	72.8571428571429	uc.36	3110035E14Rik	(+2066),
chr1	9629949	9629949	+	1.00748996431742e-11	3.04688650970694e-10	-53.4883720930233	uc.37	3110035E14Rik	(+28751)
