chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	10255703	10255703	-	2.47682834283842e-14	1.92624129193782e-12	71.6216216216216	uc.25	Cpa6	(+464242)
chr1	10382679	10382679	+	9.4850724672719e-14	6.25179165479356e-12	-57.6086956521739	uc.26	Cpa6	(+337266),
chr1	15095894	15095894	+	2.98549448561558e-12	1.24171789620027e-10	-53.2258064516129	uc.41	Trpa1	(-177033)
chr1	20803563	20803563	-	2.6263277048705e-17	4.92523264391028e-15	46.9520319786809	uc.55	Mcm3	(+16749)
chr1	20817088	20817088	-	2.53986637025244e-06	1.4868692167397e-05	41.7582417582418	uc.56	Mcm3	(+3224),
chr1	20867814	20867814	-	1.67087418048144e-23	1.85610999987452e-20	-80.3482587064677	uc.57	Mcm3	(-47503),
chr1	26333354	26333354	-	7.27248264923977e-15	6.66648689395666e-13	-47.8021978021978	uc.82	4931408C20Rik	(+354106)
chr1	26333372	26333372	-	5.75883820296676e-09	8.42650884820526e-08	-40.4120879120879	uc.83	4931408C20Rik	(+354088),
chr1	26985982	26985982	-	1.34826658302804e-07	1.24220239128361e-06	-42.8125	uc.84	4931408C20Rik	(-298523),
chr1	27032396	27032396	-	8.52866639593633e-08	8.42752438055357e-07	43.75	uc.85	4931408C20Rik	(-344937),
chr1	27056545	27056545	-	9.13603609332762e-11	2.3882608815097e-09	-50	uc.86	4931408C20Rik	(-369086),
chr1	27207708	27207708	-	2.25979416181932e-11	7.12962074491994e-10	46.131741821397	uc.87	4931408C20Rik	(-520249),
chr1	27207720	27207720	-	4.92290737405398e-15	4.76038521954323e-13	48.7179487179487	uc.88	4931408C20Rik	(-520261),
chr1	27276542	27276542	+	5.21876712419142e-20	2.18124216922943e-17	-54.7945205479452	uc.89	4931408C20Rik	(-589083),
chr1	31301333	31301333	-	8.88568746373536e-13	4.34702644623752e-11	-42.7083333333333	uc.100	Pih1d3	(+78496),
chr1	31492680	31492680	-	9.23913548469261e-08	9.01096815640615e-07	47.0634920634921	uc.101	Pih1d3	(+269843)
chr1	36313922	36313922	-	7.5032009620138e-11	2.01545599132352e-09	-50.5074302283436	uc.138	Kansl3	(+54092)
chr1	36313950	36313950	-	4.04194907739369e-10	8.58978183262153e-09	-48.2602392171076	uc.139	Kansl3	(+54064),
chr1	36319893	36319893	+	2.09082471094528e-17	4.06403891893158e-15	-44.2477876106195	uc.140	Kansl3	(+48121),
chr1	36698030	36698030	-	1.41025851128241e-09	2.51601901573243e-08	63.6363636363636	uc.142	Cox5b	(+6547),
chr1	36702138	36702138	-	3.90081153440043e-17	6.94145016473159e-15	43.3628318584071	uc.143	Cox5b	(+10655)
chr1	38852741	38852741	+	2.57765089881971e-08	3.03626656249538e-07	44.7293447293447	uc.167	Chst10	(+45269)
chr1	39080479	39080479	+	6.23909816528324e-12	2.34744117321262e-10	-45.197606676114	uc.168	Pdcl3	(+94872),
chr1	39086037	39086037	-	1.94470416424587e-09	3.31427108075939e-08	-44.4297082228117	uc.169	Pdcl3	(+100430)
chr1	39338597	39338597	-	9.13753400068345e-10	1.73447994772177e-08	40.5675954592363	uc.170	Rpl31	(-29245),
chr1	39402824	39402824	+	3.81281471512499e-11	1.12763370312067e-09	43.9408866995074	uc.171	Rpl31	(+34983)
chr1	39679505	39679505	+	1.45816066761119e-11	4.87857482477342e-10	54.7628083491461	uc.174	Rfx8	(+41492)
chr1	39687739	39687739	-	3.13518651776886e-13	1.76632529669283e-11	-54.2372881355932	uc.175	Rfx8	(+33258),
chr1	39687741	39687741	+	8.83745735932107e-11	2.3211865706389e-09	-49.3432505143219	uc.176	Rfx8	(+33256),
chr1	39687742	39687742	-	1.19751602476269e-10	3.01546106837612e-09	-48.3050847457627	uc.177	Rfx8	(+33255),
chr1	39687744	39687744	-	8.77654536519905e-08	8.62906883654203e-07	-41.5254237288136	uc.178	Rfx8	(+33253),
chr1	39687753	39687753	+	4.24718724436616e-08	4.65112222004611e-07	-40.322835891755	uc.179	Rfx8	(+33244),
chr1	39687769	39687769	-	8.39788736390959e-12	3.03818257534747e-10	-52.5423728813559	uc.180	Rfx8	(+33228),
chr1	39689827	39689827	-	2.17231509262328e-09	3.64500319188895e-08	-41.8604651162791	uc.181	Rfx8	(+31170),
chr1	39760918	39760918	+	4.30642192286165e-07	3.31311541121672e-06	47.8174603174603	uc.182	Rfx8	(-39922),
chr1	40055462	40055462	+	1.68279454097463e-10	4.04400146412144e-09	52.2727272727273	uc.184	Il1r2	(-29236),
chr1	40055537	40055537	+	3.06703733353239e-13	1.7334521409754e-11	63.6363636363636	uc.185	Il1r2	(-29161),
chr1	40055566	40055566	+	8.06927598290589e-06	3.92770284461773e-05	-44.1414141414141	uc.186	Il1r2	(-29132),
chr1	40058072	40058072	+	9.81380507440484e-11	2.53902033095621e-09	45.0722394220846	uc.187	Il1r2	(-26626),
chr1	40101305	40101305	-	2.97813202712775e-14	2.26784702321556e-12	-64.6031746031746	uc.188	Il1r2	(+16608)
chr1	42899772	42899772	+	1.65875950460546e-12	7.48783529439893e-11	46.9941904521344	uc.207	Gpr45	(-53191)
chr1	44178088	44178088	+	2.66625761320214e-09	4.35338397028156e-08	41.8604651162791	uc.208	Mettl21e	(+40873)
chr1	44343231	44343231	+	2.05969946683793e-09	3.48254612888064e-08	42.4561403508772	uc.209	Mettl21e	(-124271),
chr1	44348755	44348755	-	3.10144575306261e-13	1.75011628729445e-11	-41.7721518987342	uc.210	Mettl21e	(-129795),
chr1	44491684	44491684	-	1.88457749244707e-19	6.66692580569518e-17	-75.7575757575758	uc.211	Mettl21e	(-272724),
chr1	52034004	52034004	-	9.77629701771642e-12	3.46236374849664e-10	46.2686567164179	uc.234	Stat4	(+25762)
chr1	63959880	63959880	+	3.03579467217273e-11	9.22257047331577e-10	41.1764705882353	uc.286	4933402D24Rik	(-190614)
chr1	63968316	63968316	-	1.24472253881087e-14	1.06608556646332e-12	52.6933945602261	uc.287	4933402D24Rik	(-199050),
chr1	63993875	63993875	-	3.69173469273017e-10	7.94285977656849e-09	41.8981481481482	uc.288	4933402D24Rik	(-224609),
chr1	64031125	64031125	+	1.15977504958519e-11	4.00606114417454e-10	48.2758620689655	uc.289	4933402D24Rik	(-261859),
