chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	14085073	14085073	-	1.73658152966546e-28	6.25407911374549e-25	40.7423465540642	uc.1	Xkr9	(+416303)
chr1	33371174	33371174	+	7.54375452765947e-17	1.30170674273619e-14	43.1985405898449	uc.2	Prim2	(+298621)
chr1	71421983	71421983	-	6.4841625934095e-31	4.82605786037167e-27	-43.4855924217626	uc.5	Atic	(-135167)
chr1	119487709	119487709	+	8.55949582376867e-13	4.82530926788174e-11	-41.30900243309	uc.15	Inhbb	(-65462)
chr1	153539905	153539905	+	5.38600056505151e-16	7.40161288180889e-14	-41.9501133786848	uc.19	Dhx9	(-52298)
chr1	169755482	169755482	+	2.61954299955964e-28	8.86219861329074e-25	-41.3570374015748	uc.22	Ccdc190	(-174447)
chr1	177350615	177350615	+	2.5419175605736e-21	1.38702956745741e-18	-43.8634761149304	uc.23	Akt3	(-92413)
chr1	190513525	190513525	-	6.50689373645497e-13	3.79622931984149e-11	-42.7076794308433	uc.25	Prox1	(-342812)
chr10	44541426	44541426	+	2.89537987624577e-23	2.59012577265216e-20	-40.8465050930804	uc.28	Prep	(-525777)
chr10	59934507	59934507	+	5.91245332592677e-26	1.0680931684056e-22	-44.7228982471273	uc.29	Ddit4	(+17327)
chr10	59934507	59934507	+	5.91245332592677e-26	1.0680931684056e-22	-44.7228982471273	uc.29	Dnajb12	(+54933)
chr10	60918835	60918835	+	6.4441326930972e-24	6.73632619356951e-21	-47.675684079602	uc.30	Pcbd1	(-170524)
chr10	76222787	76222787	+	1.75502122308467e-21	9.9358573824478e-19	43.2090639838277	uc.34	Slc5a4a	(+75337)
chr10	80835488	80835488	-	2.1120593276939e-23	1.95994688600923e-20	-45.7251206619168	uc.36	Lingo3	(+8551)
chr11	35933709	35933709	-	2.02040064211725e-25	3.19493983224244e-22	-42.0628946090335	uc.39	Rars	(-99204)
chr11	64236107	64236107	+	2.63173021889107e-18	6.59957697482437e-16	-41.6562135516384	uc.46	Cox10	(-156642)
chr11	65721787	65721787	-	1.68911171064507e-17	3.43116446834853e-15	41.7360828931329	uc.47	Map2k4	(+66510)
chr11	65721787	65721787	-	1.68911171064507e-17	3.43116446834853e-15	41.7360828931329	uc.47	Myocd	(-451799)
chr11	94947703	94947703	-	1.51738571598841e-16	2.42641244582619e-14	-46.9362745098039	uc.50	Col1a1	(+11480)
chr11	96409013	96409013	+	6.67880047553635e-28	1.98308126468731e-24	-40.2743568691845	uc.51	Hoxb1	(+43262)
chr11	102060816	102060816	+	2.61359942768984e-34	5.03084480182437e-30	-54.0610146054792	uc.54	Cd300lg	(+19308)
chr11	108223853	108223853	-	5.27228018664707e-13	3.15102244865239e-11	-40.1622718052738	uc.55	Prkca	(+120075)
chr11	114635456	114635456	-	6.34241399570927e-26	1.13839790846731e-22	-48.7790258846512	uc.56	Rpl38	(-33153)
chr11	114791246	114791246	+	1.08031292867541e-29	5.38432718275825e-26	48.4475895621406	uc.57	Btbd17	(+4651)
chr12	29832346	29832346	+	1.02486737016519e-27	2.86047108418324e-24	-45.6751782838739	uc.60	Myt1l	(+303963)
chr12	29832346	29832346	+	1.02486737016519e-27	2.86047108418324e-24	-45.6751782838739	uc.60	Pxdn	(-105690)
chr12	73640370	73640370	+	1.2665296368582e-21	7.44987585486752e-19	-48.5972461273666	uc.64	Hif1a	(-267534)
chr12	84152655	84152655	+	6.01736498441252e-16	8.14650817983074e-14	-44.9146514935989	uc.68	Pnma1	(-4167)
chr12	112318410	112318410	+	4.20664573557713e-22	2.83257423227276e-19	-44.222972972973	uc.72	Tmem179	(+192762)
chr13	51431278	51431278	-	2.85706272397624e-19	9.18692023228347e-17	-44.7930247718383	uc.75	S1pr3	(+22640)
chr14	70009639	70009639	+	3.36476551883314e-26	6.59037058474276e-23	-48.5836843529002	uc.87	Egr3	(-67675)
chr14	70009639	70009639	+	3.36476551883314e-26	6.59037058474276e-23	-48.5836843529002	uc.87	Pebp4	(+169220)
chr14	122179325	122179325	+	6.07227688685881e-28	1.86243047719297e-24	41.9906293529188	uc.89	Clybl	(-2369)
chr15	24724637	24724637	-	1.21575645612394e-17	2.55901573408647e-15	40.7698675496689	uc.90	9230109A22Rik	(+424522)
chr15	53530406	53530406	-	6.0404672988934e-20	2.3400201582827e-17	-42.7440311840182	uc.91	Ext1	(-184248)
chr15	88144399	88144399	+	1.57184376544534e-16	2.50263409212798e-14	43.5108725571153	uc.95	Zdhhc25	(-455903)
chr16	4983656	4983656	+	1.00485080711599e-15	1.29095676074242e-13	-47.2693531283139	uc.100	4930451G09Rik	(+14721)
chr16	11317891	11317891	+	2.15159696636141e-22	1.55576327104971e-19	-45.5543102643131	uc.101	Tnfrsf17	(+4080)
chr16	45399918	45399918	+	6.61121423638768e-17	1.1587018100713e-14	-47.9735556194309	uc.102	Cd200	(+9135)
chr17	31872316	31872316	-	3.31283505219197e-20	1.37230746307369e-17	-40.3515839589819	uc.108	Sik1	(-16525)
chr17	35486841	35486841	+	7.5924482444683e-21	3.63794229617992e-18	-40.799276785436	uc.109	Pou5f1	(-19177)
chr17	43629176	43629176	+	1.35414442665028e-51	7.55900927086144e-46	44.202681072429	uc.112	Tdrd6	(+1123)
