chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	6163709	6163709	-	3.85610515633606e-13	2.93742653469707e-11	82.6923076923077	uc.1	Npbwr1	(-246312)
chr1	6163709	6163709	-	3.85610515633606e-13	2.93742653469707e-11	82.6923076923077	uc.1	Rb1cc1	(-50936)
chr1	34306556	34306556	-	2.89446245431251e-23	5.42580637576552e-20	-84.4827586206897	uc.5	Dst	(+398332),
chr1	34306564	34306564	-	1.44201447001362e-19	8.4223657121618e-17	-75.8620689655172	uc.6	Dst	(+398340)
chr1	39338570	39338570	+	3.41825645627161e-25	1.24781193996989e-21	-75.1989389920424	uc.7	Npas2	(+144359),
chr1	39361883	39361883	+	7.86498780942414e-16	1.42382186234475e-13	-81.8181818181818	uc.8	Npas2	(+167672)
chr1	61138175	61138175	-	3.94890919501218e-26	1.97397773860157e-22	80.7219662058372	uc.10	Icos	(+160249)
chr1	64531387	64531387	-	1.20039380886309e-19	7.15421764390836e-17	77.5510204081633	uc.11	Creb1	(-1422)
chr1	75492965	75492965	+	2.39402558990093e-14	2.67653295635235e-12	-79.7979797979798	uc.15	Obsl1	(+13396)
chr1	134651749	134651749	-	9.39896005820402e-18	3.10796364237157e-15	-83.7209302325581	uc.21	Kdm5b	(+91579)
chr1	167279199	167279199	+	5.50240903597944e-20	3.63464222599788e-17	-75.9259259259259	uc.28	Uck2	(+6121)
chr1	178533777	178533777	-	1.55487686255323e-23	3.25565374488361e-20	80.6199821587868	uc.32	Kif26b	(+4653)
chr1	179609824	179609824	+	5.04812950883136e-26	2.43568280354992e-22	-84.7826086956522	uc.33	Sccpdh	(-58386)
chr1	181455264	181455264	+	8.85508318668969e-13	6.0398085183585e-11	-82.5396825396825	uc.34	Cnih3	(+102637)
chr1	184629855	184629855	-	1.31516464050924e-16	3.06356041260638e-14	-86.4864864864865	uc.36	Dusp10	(+595475)
chr1	188827810	188827810	-	8.94082222940338e-19	4.01371998858804e-16	77.7777777777778	uc.37	Kctd3	(+180030)
chr10	9315566	9315566	+	1.98022758881976e-08	3.04323744990686e-07	75.3694581280788	uc.39	Sash1	(-429497)
chr10	29243522	29243522	+	4.99157765103451e-18	1.79622331712233e-15	-78	uc.42	9330159F19Rik	(+31917)
chr10	67819412	67819412	+	6.03482929318013e-13	4.317444639763e-11	77.7777777777778	uc.47	Ado	(-270458)
chr10	99941724	99941724	+	1.82990679757762e-13	1.54543834278398e-11	-75.6756756756757	uc.59	Kitl	(-73906)
chr11	8492111	8492111	-	2.09597852076028e-16	4.55537459151656e-14	-78.5714285714286	uc.75	Tns3	(+172424)
chr11	12026797	12026797	+	6.78326442491071e-26	3.18966315620443e-22	78.3614457831325	uc.76	Grb10	(+10604)
chr11	89696293	89696293	-	1.13974986138933e-13	1.02680370277505e-11	82.7586206896552	uc.95	Pctp	(+306601)
chr11	97500752	97500752	-	1.71095360576679e-19	9.74691903786408e-17	-76.1904761904762	uc.100	4933428G20Rik	(-413)
chr11	97558868	97558868	+	8.01532696286963e-22	9.54384567967391e-19	-82.5396825396825	uc.101	4933428G20Rik	(-58529),
chr11	98558513	98558513	+	1.92666414747844e-23	3.88741945821732e-20	-100	uc.104	Ormdl3	(+28855)
chr11	115726796	115726796	+	7.72027559225899e-16	1.40174022409819e-13	-80.7146908678389	uc.116	Tmem94	(-38637)
chr11	117137074	117137074	-	2.36389703341559e-21	2.4022820436487e-18	-76.4705882352941	uc.117	Sec14l1	(+21903)
chr12	54703433	54703433	-	6.62074765768851e-15	8.7738894251876e-13	-78.2608695652174	uc.124	Snx6	(+92270)
chr13	7339183	7339183	+	2.62410193383546e-13	2.10134916668383e-11	-76.9230769230769	uc.134	Pfkp	(-690407)
chr13	43418016	43418016	-	1.52536584449693e-14	1.81197512961185e-12	77.7777777777778	uc.144	Ranbp9	(+63266)
chr13	73827874	73827874	-	1.39025352695583e-19	8.15438009847797e-17	-80.0482218203737	uc.150	Slc12a7	(+64178)
chr13	85143362	85143362	-	1.98249160520625e-13	1.65341516145153e-11	79.3103448275862	uc.153	Tmem161b	(+921063)
chr13	113791092	113791092	-	2.42109132551142e-19	1.31575040313355e-16	-86.5384615384615	uc.157	Arl15	(-3413)
