chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	11709395	11709395	+	6.53124949407344e-11	1.59080896012879e-09	-63.2407407407407	uc.48	Sulf1	(-982882),
chr1	11720530	11720530	-	6.06701555637885e-06	2.84934644715755e-05	-42.0077972709552	uc.49	Sulf1	(-971747),
chr1	12457859	12457859	-	1.96358950687768e-13	1.04266199032022e-11	-50	uc.50	Sulf1	(-234418),
chr1	12457942	12457942	-	3.69922730695483e-20	1.30763362009577e-17	-60.9984639016897	uc.51	Sulf1	(-234335),
chr1	12498703	12498703	-	9.11150018045e-09	1.12004317095784e-07	48.0769230769231	uc.52	Sulf1	(-193574)
chr1	18233238	18233238	-	3.88810633537632e-10	7.38986171155781e-09	-50.9615384615385	uc.86	Defb18	(+4205)
chr1	20998447	20998447	-	3.33179981275305e-06	1.7182165308242e-05	-40.3943377148635	uc.94	Tram2	(+80782)
chr1	31301174	31301174	+	2.57893674987598e-14	1.77661910740059e-12	-42.4242424242424	uc.133	Pih1d3	(+78337)
chr1	34032473	34032473	+	1.82734970127707e-08	2.03439082499721e-07	-45.8503401360544	uc.142	Dst	(+124249),
chr1	34043364	34043364	+	1.70640518005564e-12	6.78855680859422e-11	61.7021276595745	uc.143	Dst	(+135140),
chr1	34116598	34116598	+	6.42792099600978e-09	8.28773841237689e-08	-44	uc.144	Dst	(+208374),
chr1	34121817	34121817	-	6.08979035242891e-16	6.75807826662236e-14	50	uc.145	Dst	(+213593),
chr1	34192315	34192315	-	5.70227793132504e-06	2.70323068119971e-05	-50.609756097561	uc.146	Dst	(+284091),
chr1	34301694	34301694	+	7.15251889795334e-13	3.19823172778184e-11	-55.5555555555556	uc.147	Dst	(+393470),
chr1	34418108	34418108	+	1.47388328142166e-12	5.97737024607212e-11	60.6060606060606	uc.148	Dst	(+509884),
chr1	34418126	34418126	+	2.09210737862497e-10	4.33904016920367e-09	-44.7368421052632	uc.149	Dst	(+509902)
chr1	44275371	44275371	-	2.42696938296239e-10	4.93297142078298e-09	-60.7142857142857	uc.247	Gulp1	(-276140),
chr1	44348885	44348885	+	1.27334784065721e-12	5.26880656626481e-11	42.9906542056075	uc.248	Gulp1	(-202626),
chr1	44481506	44481506	-	9.73022246255235e-14	5.67688715676812e-12	48.936170212766	uc.249	Gulp1	(-70005),
chr1	44889085	44889085	-	5.90065334384436e-10	1.05909225350531e-08	41.0714285714286	uc.250	Gulp1	(+337575),
chr1	45015933	45015933	-	1.4524209482717e-07	1.19654627842478e-06	-50.718954248366	uc.251	Gulp1	(+464423),
chr1	45157262	45157262	-	1.17887469281655e-10	2.64506245099505e-09	57.6923076923077	uc.252	Gulp1	(+605752),
chr1	45186520	45186520	-	6.68888656751342e-09	8.57910475874028e-08	-41.6666666666667	uc.253	Gulp1	(+635010)
chr1	45587551	45587551	-	8.55451968464596e-13	3.73573092069384e-11	-40.9979736575481	uc.258	Wdr75	(-207615)
chr1	58619566	58619566	-	1.99236443567033e-09	3.03490461474287e-08	-45.4415137614679	uc.312	Ndufb3	(+33183),
chr1	58651795	58651795	-	3.63171575627415e-05	0.000128650102792824	-43.2692307692308	uc.313	Ndufb3	(+65412),
chr1	58659197	58659197	+	4.43511758045772e-11	1.13763219473603e-09	43.9335284675668	uc.314	Ndufb3	(+72814),
chr1	58659426	58659426	-	2.46445834824528e-05	9.28708462660457e-05	42.4747474747475	uc.315	Ndufb3	(+73043)
chr1	75366831	75366831	+	6.03403351420914e-10	1.07950508023499e-08	45.8015267175573	uc.457	Speg	(-8466),
chr1	75388882	75388882	+	9.65013599510009e-09	1.17672330026115e-07	40.3199540185842	uc.458	Speg	(+13586),
chr1	75401689	75401689	+	3.94812533651129e-09	5.45414827456206e-08	-46.3018490754623	uc.459	Speg	(+26393),
chr1	75403906	75403906	+	2.31817077174135e-13	1.20486281753228e-11	51.4119601328904	uc.460	Speg	(+28610),
chr1	75419041	75419041	-	8.88445284720059e-12	2.8364611685493e-10	-41.139820414147	uc.461	Speg	(+43745),
chr1	75422510	75422510	+	3.04713074270449e-11	8.21321106107754e-10	45.5720749838397	uc.462	Speg	(+47214),
chr1	75429111	75429111	-	1.17603905056292e-06	7.09961928508868e-06	42.1352583586626	uc.463	Speg	(+53815)
chr1	75484488	75484488	+	4.36609644228534e-07	3.05546564512502e-06	48.6068111455108	uc.469	Obsl1	(+21873)
chr1	75492744	75492744	-	8.4376046603125e-14	5.02706297825841e-12	51.0416666666667	uc.470	Obsl1	(+13617),
chr1	75492787	75492787	-	5.54529548979465e-39	3.38460707504458e-34	96.875	uc.471	Obsl1	(+13574),
chr1	75492858	75492858	+	7.49752828255818e-09	9.46227202587283e-08	48.6263736263736	uc.472	Obsl1	(+13503),
chr1	75492882	75492882	+	5.25987970469433e-20	1.80116065145445e-17	60	uc.473	Obsl1	(+13479),
chr1	75492905	75492905	+	1.73933598368418e-08	1.94938791910018e-07	43.179347826087	uc.474	Obsl1	(+13456),
chr1	75492945	75492945	+	3.08731571956164e-05	0.000112246878291948	-44.8798328108673	uc.475	Obsl1	(+13416),
chr1	75509743	75509743	-	5.32253840287825e-07	3.61670595093982e-06	-42.7663734115347	uc.476	Inha	(+2667)
chr1	75509743	75509743	-	5.32253840287825e-07	3.61670595093982e-06	-42.7663734115347	uc.476	Obsl1	(-3383),
chr1	82256062	82256062	+	4.30878669589109e-06	2.13398216670787e-05	40.2867715078631	uc.512	Irs1	(+35354)
chr1	83298255	83298255	+	7.11011814248143e-15	5.78884846455617e-13	40.2439024390244	uc.517	Sphkap	(+109945)
chr1	83411042	83411042	+	4.02687926162681e-14	2.61842884951152e-12	44.8979591836735	uc.518	Sphkap	(-2843),
chr1	84203631	84203631	-	1.78942225827483e-06	1.0137964862862e-05	-40.3050108932462	uc.519	Sphkap	(-795432),
