chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
"chr1"	21070841	21070841	"-"	5.39956227046472e-14	3.58710628495218e-12	40.503028908826	uc.8	Tram2	(+8388)
"chr1"	36313922	36313922	"-"	2.8168630797137e-15	2.68183418591386e-13	-52.7322404371585	uc.13	Kansl3	(+54092)
"chr1"	36781842	36781842	"-"	7.76601784215469e-12	2.81239610756608e-10	-45.9356725146199	uc.16	Tmem131	(+157980)
"chr1"	75492744	75492744	"-"	6.02793915115227e-18	1.18061698143783e-15	-40.3530377668309	uc.32	Obsl1	(+13617)
"chr1"	75492965	75492965	"+"	2.72040306000796e-12	1.12370742994172e-10	50.4201680672269	uc.33	Obsl1	(+13396),
"chr1"	87282464	87282464	"+"	1.22195148147293e-19	3.73139997782348e-17	44.7086247086247	uc.38	Gigyf2	(-44539)
"chr1"	89107631	89107631	"-"	5.59777723799593e-16	6.46423274679888e-14	-40.5770772107935	uc.40	Agap1	(-347175)
"chr1"	128806476	128806476	"-"	1.7983579221414e-32	1.61562632875608e-28	40.1793400286944	uc.61	Cxcr4	(-214187)
"chr1"	132886028	132886028	"-"	1.64453158432004e-13	9.54519590817002e-12	-44.4575626393808	uc.65	Mdm4	(+139328)
"chr1"	132900367	132900367	"-"	2.43791260529378e-44	3.0224700692106e-39	40.3810371329181	uc.66	Mdm4	(+124989),
"chr1"	133068889	133068889	"-"	8.78162622775842e-13	4.16116257435857e-11	50.7872658315136	uc.67	Pik3c2b	(+22878)
"chr1"	134651719	134651719	"-"	5.21752257152935e-16	6.06807594826835e-14	42.4542590573125	uc.68	Kdm5b	(+91549)
"chr1"	178533777	178533777	"-"	4.78797831471562e-25	6.05717296119762e-22	-54.2318634423898	uc.94	Kif26b	(+4653)
"chr1"	187225942	187225942	"+"	2.7125773532724e-12	1.12069892771546e-10	43.5312418978481	uc.103	Esrrg	(-771885)
"chr1"	189910279	189910279	"+"	1.04396738588608e-14	8.5005099836288e-13	42.0901458241273	uc.105	Ptpn14	(+182012),
"chr1"	189910279	189910279	"+"	1.04396738588608e-14	8.5005099836288e-13	42.0901458241273	uc.105	Smyd2	(+12084)
"chr1"	189910370	189910370	"-"	3.41886517149681e-18	7.15952584150465e-16	44.2105263157895	uc.106	Ptpn14	(+182103)
"chr1"	189910370	189910370	"-"	3.41886517149681e-18	7.15952584150465e-16	44.2105263157895	uc.106	Smyd2	(+11993),
"chr1"	191281087	191281087	"+"	6.97757154764556e-13	3.40094303800505e-11	40.0837654567212	uc.110	Atf3	(-97748)
"chr10"	12008617	12008617	"-"	3.60830016867313e-19	9.73768101056285e-17	-47.7777777777778	uc.117	Utrn	(+853118)
"chr10"	59992643	59992643	"-"	7.1612776548385e-11	1.95611031013802e-09	41.8112568768515	uc.138	Anapc16	(+10468)
"chr10"	69613862	69613862	"+"	5.58828093062208e-19	1.4350097277015e-16	-41.828491533323	uc.152	Ank3	(+80091),
"chr10"	69613862	69613862	"+"	5.58828093062208e-19	1.4350097277015e-16	-41.828491533323	uc.152	Ccdc6	(-483259),
"chr10"	70025054	70025054	"+"	7.47330775735104e-17	1.09621882252269e-14	43.3734939759036	uc.153	Ank3	(+491283)
"chr10"	70025054	70025054	"+"	7.47330775735104e-17	1.09621882252269e-14	43.3734939759036	uc.153	Ccdc6	(-72067),
"chr10"	70152852	70152852	"-"	5.08187417434768e-14	3.4045147959989e-12	-41.921768707483	uc.154	Ccdc6	(+55732)
"chr10"	78092162	78092162	"-"	1.99793887459369e-17	3.41561001038226e-15	-43.3903912543153	uc.165	D10Jhu81e	(+77620)
"chr10"	82887559	82887559	"-"	3.60510568727649e-17	5.73457814850828e-15	-44.183960056171	uc.177	Eid3	(+20934),
"chr10"	82954478	82954478	"-"	1.4897231833472e-22	9.53990608541275e-20	46.5914511974048	uc.178	Eid3	(+87853)
"chr10"	93437240	93437240	"+"	1.00551995033053e-10	2.63712424011286e-09	40.3615991851286	uc.186	Lta4h	(-16171),
"chr10"	93437241	93437241	"-"	1.09509699734459e-12	5.05464262960419e-11	45.7839262187088	uc.187	Lta4h	(-16170),
"chr10"	93437263	93437263	"-"	2.28016216939169e-23	1.8051689473799e-20	62.1617636216176	uc.188	Lta4h	(-16148),
"chr10"	93437279	93437279	"-"	3.90389673912204e-17	6.14520662692871e-15	44.6951264469513	uc.189	Lta4h	(-16132)
"chr10"	99280325	99280325	"-"	1.05056311110076e-13	6.43828415318736e-12	51.3043478260869	uc.196	Dusp6	(+17095)
"chr10"	115556676	115556676	"-"	4.57295623561947e-13	2.34701518844311e-11	43.1443463461334	uc.202	A930009A15Rik	(-13310)
"chr10"	115556676	115556676	"-"	4.57295623561947e-13	2.34701518844311e-11	43.1443463461334	uc.202	Zfc3h1	(+171718)
"chr10"	122691000	122691000	"+"	1.97828547785038e-14	1.48842974475109e-12	44.6437620350664	uc.214	Mon2	(+385505)
"chr10"	122961400	122961400	"+"	5.55511630984708e-12	2.10460524471874e-10	-51.8477043673012	uc.215	Mon2	(+115105),
"chr10"	123093240	123093240	"+"	1.88101353651636e-14	1.42336360734453e-12	42.2505394292228	uc.216	Mon2	(-16736),
"chr10"	127542246	127542246	"+"	2.1757793488945e-18	4.80834770397105e-16	52.4	uc.221	Lrp1	(+78902)
"chr10"	127660867	127660867	"+"	4.94748606483885e-16	5.79533605333457e-14	40.8053134080531	uc.222	Stat6	(+17882)
"chr10"	128445674	128445674	"-"	2.25902550698678e-16	2.91010993925905e-14	50.7520176082172	uc.224	Smarcc2	(-13647)
"chr11"	3566073	3566073	"-"	3.39836768637611e-24	3.34914229960474e-21	52.256918750925	uc.228	Smtn	(-26835)
"chr11"	8628787	8628787	"-"	6.25075892408042e-15	5.40113779860112e-13	43.5324367088608	uc.239	Tns3	(+35748)
"chr11"	12026797	12026797	"+"	4.96991119123431e-17	7.62006660157109e-15	-41.9067632583089	uc.241	Grb10	(+10604)
"chr11"	12026840	12026840	"+"	6.85833540638145e-20	2.23170928703076e-17	-43.3058673892606	uc.242	Grb10	(+10561),
"chr11"	43618230	43618230	"-"	2.53506546255949e-20	9.27114463288195e-18	-44.7568710359408	uc.255	Fabp6	(-16691)
"chr11"	57851080	57851080	"-"	3.51401416063612e-21	1.60523100630576e-18	53.6842105263158	uc.271	Larp1	(-157984)
"chr11"	69777810	69777810	"+"	1.27459860540884e-15	1.33532121815979e-13	41.6755037115589	uc.283	Zbtb4	(+11889)
"chr11"	90387567	90387567	"+"	1.96801068851223e-14	1.48141838316805e-12	-44.4856459330144	uc.330	Hlf	(+3328)
"chr11"	90387814	90387814	"+"	6.13034448809516e-13	3.0401061447377e-11	-40.5913660555884	uc.331	Hlf	(+3081),
"chr11"	97757638	97757638	"+"	4.35171056506998e-13	2.24685757352487e-11	-41.2461773700306	uc.349	Pip4k2b	(-12935)
"chr11"	98374960	98374960	"-"	9.25220750372609e-10	1.81797293111474e-08	-45.6428762363005	uc.353	Tcap	(-8851)
"chr11"	101870090	101870090	"-"	2.73492812693892e-16	3.44513649319505e-14	-42.6108374384236	uc.363	Meox1	(+24284)
"chr11"	101880877	101880877	"+"	5.66210743270876e-16	6.52514912437885e-14	-43.8876311998354	uc.364	Meox1	(+13497),
"chr11"	107029732	107029732	"-"	5.21370934653277e-15	4.60321991805547e-13	-43.289597804648	uc.372	Bptf	(+102190)
"chr11"	107118663	107118663	"+"	4.31998184665335e-24	4.18423268982319e-21	-42.7672955974843	uc.373	Bptf	(+13259),
"chr11"	107317691	107317691	"+"	5.99735691737749e-18	1.17555827586718e-15	42.9960681520315	uc.374	Pitpnc1	(+153008)
"chr11"	115726770	115726770	"+"	2.41217179372604e-15	2.34002909308833e-13	51.88858583354	uc.391	Tmem94	(-38663),
"chr11"	115726796	115726796	"+"	6.86837216854925e-23	4.77848245740444e-20	61.1290189271841	uc.392	Tmem94	(-38637),
"chr11"	115743550	115743550	"-"	9.35859914960678e-17	1.33516501876444e-14	41.9117647058824	uc.393	Tmem94	(-21883),
"chr11"	115743571	115743571	"-"	4.39612747149787e-15	3.96841524878703e-13	40.0735294117647	uc.394	Tmem94	(-21862)
"chr11"	115883492	115883492	"+"	4.94668351167831e-19	1.28193743545371e-16	40.8473940757405	uc.396	Smim5	(-16474),
"chr11"	115905766	115905766	"+"	6.827718836937e-10	1.39674850483204e-08	43.0646235842771	uc.397	Smim5	(+5801)
"chr11"	117175709	117175709	"-"	1.05776170050874e-15	1.13343952977603e-13	41.4285714285714	uc.401	Sec14l1	(+60538)
