chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	4688331	4688331	-	9.54476519343087e-08	1.07038833114005e-06	-46.031746031746	uc.14	Mrpl15	(+97408)
chr1	5044347	5044347	+	6.32430712041085e-08	7.55046201326968e-07	-47.0588235294118	uc.15	Tcea1	(+186310),
chr1	5046769	5046769	+	3.99234889885694e-05	0.000165758579757233	-44.375	uc.16	Tcea1	(+188732)
chr1	5916135	5916135	+	5.41853424643038e-10	1.32402699910556e-08	-41.0790598290598	uc.19	Npbwr1	(+1263)
chr1	10262685	10262685	-	2.11614411357626e-19	9.93423569929432e-17	-43.7062404870624	uc.38	Cpa6	(+457260)
chr1	10696029	10696029	+	4.90707887550216e-14	4.50510023675693e-12	41.0504003768252	uc.39	Cpa6	(+23916),
chr1	13219606	13219606	-	8.36726362565639e-07	6.6542089481723e-06	-51	uc.48	Ncoa2	(+154477)
chr1	13374614	13374614	+	8.82173024432335e-11	2.79941967040501e-09	-48	uc.49	Ncoa2	(-532),
chr1	13435520	13435520	-	7.6136422435076e-12	3.42772043259534e-10	-54.1247203579418	uc.50	Ncoa2	(-61438),
chr1	13435520	13435520	-	7.6136422435076e-12	3.42772043259534e-10	-54.1247203579418	uc.50	Tram1	(+154390)
chr1	13529506	13529506	+	1.29847802257058e-10	3.90344692995358e-09	-40.2173913043478	uc.51	Ncoa2	(-155424),
chr1	13529506	13529506	+	1.29847802257058e-10	3.90344692995358e-09	-40.2173913043478	uc.51	Tram1	(+60404),
chr1	13843972	13843972	-	4.2689798358369e-12	2.09034565682338e-10	-65.2255639097744	uc.52	Xkr9	(+175202),
chr1	13889349	13889349	+	8.17265600620659e-10	1.88330224069205e-08	-53.9077392298895	uc.53	Xkr9	(+220579),
chr1	14034461	14034461	-	9.24606758863579e-06	4.94010724020049e-05	51.1679644048943	uc.54	Xkr9	(+365691),
chr1	14085073	14085073	-	1.02608158471602e-16	2.21930355126564e-14	49.5757065712883	uc.55	Xkr9	(+416303)
chr1	16215145	16215145	+	9.43767411783939e-11	2.96609578039867e-09	47.1074380165289	uc.63	Rdh10	(+109372),
chr1	16256000	16256000	+	1.2220983233454e-06	9.12428956211713e-06	40.4031149793862	uc.64	Rdh10	(+150227)
chr1	17227614	17227614	-	9.23185871773101e-11	2.91015175156354e-09	-52.3809523809524	uc.66	Gdap1	(+82253)
chr1	17903949	17903949	-	2.442044486388e-17	6.42077570249124e-15	-42.5	uc.67	Crispld1	(+176862),
chr1	17979534	17979534	-	4.34804458219282e-08	5.50859065090407e-07	-65.5172413793103	uc.68	Crispld1	(+252447)
chr1	20753766	20753766	-	1.08136595167151e-10	3.33713322020303e-09	44.593837535014	uc.84	Il17f	(+30504)
chr1	20821314	20821314	+	9.06165213545774e-10	2.05751673879183e-08	51.5151515151515	uc.85	Mcm3	(-1003)
chr1	20867813	20867813	+	1.89906907959444e-08	2.72963570772822e-07	59.5402298850575	uc.86	Mcm3	(-47502),
chr1	20867813	20867813	+	1.89906907959444e-08	2.72963570772822e-07	59.5402298850575	uc.86	Paqr8	(-22793),
chr1	20867834	20867834	-	3.37833661716668e-07	3.10803477770405e-06	-47.9342956694873	uc.87	Mcm3	(-47523),
chr1	20867834	20867834	-	3.37833661716668e-07	3.10803477770405e-06	-47.9342956694873	uc.87	Paqr8	(-22772),
chr1	20905953	20905953	-	0.00107801223821949	0.00251606951845228	41.8461538461538	uc.88	Paqr8	(+15348),
chr1	20935355	20935355	-	1.31098369196579e-08	1.99458302051919e-07	-44.0143884892086	uc.89	Paqr8	(+44750)
