chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance	Fold Change	gene expression p-value
"chr19"	10578041	10578040	0	"*"	10.3000645085817	-27.4725274725275	uc.416	Tmem138	(-680)	-1,21	0,0661
"chr3"	108568012	108568011	0	"*"	10.8135406825417	35.8695652173913	uc.627	Taf13	(-3687),	-1,3	0,0003
"chr3"	108568138	108568137	0	"*"	4.58201173893592	-32.021151586369	uc.628	Taf13	(-3561),	-1,3	0,0003
"chr3"	108568139	108568138	0	"*"	11.7644585669205	-50.8860759493671	uc.629	Taf13	(-3560),	-1,3	0,0003
"chr3"	108568146	108568145	0	"*"	3.7590480329648	-26.5099457504521	uc.630	Taf13	(-3553)	-1,3	0,0003
"chr19"	11404044	11404043	0	"*"	3.51808953480591	33.525641025641	uc.899	Ms4a4c	(-3617)	-1,21	0,0343
"chrX"	140341726	140341725	0	"*"	5.51475283309511	29.986898132984	uc.2598	Frmpd3	(-537),	-1,24	0,0060
"chrX"	140341838	140341837	0	"*"	5.88463728359148	29.1041275797373	uc.2599	Frmpd3	(-425)	-1,24	0,0060
"chr2"	152686933	152686932	0	"*"	4.89673944345149	-30.4945054945055	uc.3095	Mcts2	(-102),	1,26	0,0058
"chr2"	152686981	152686980	0	"*"	3.63318967851907	25.2481389578164	uc.3096	Mcts2	(-54)	1,26	0,0058
"chr14"	16364921	16364920	0	"*"	5.59319225261862	-33.3333333333333	uc.3403	Top2b	(-258)	1,37	0,0832
"chr16"	17894378	17894377	0	"*"	4.43320328504868	33.1667423898228	uc.3743	Tssk2	(-4259)	-1,44	0,0014
"chr16"	18248517	18248516	0	"*"	7.02052620108366	-38.2352941176471	uc.3811	Trmt2a	(-366),	-1,3	0,0147
"chr16"	18248837	18248836	0	"*"	8.16838732749034	32.8571428571429	uc.3812	Ranbp1	(-106)	-1,3	0,0287
"chr16"	18248837	18248836	0	"*"	8.16838732749034	32.8571428571429	uc.3812	Trmt2a	(-46)	-1,3	0,0147
"chrX"	20059427	20059426	0	"*"	4.19815659705596	-26.1627906976744	uc.3985	Chst7	(-133),	-1,47	0,0061
"chrX"	20059428	20059427	0	"*"	3.40948030885263	-27.1052631578947	uc.3986	Chst7	(-132)	-1,47	0,0061
"chr18"	23989046	23989045	0	"*"	2.51366888945823	25.1105961659996	uc.4190	Zfp35	(-586)	-1,25	0,0299
"chr19"	29326016	29326015	0	"*"	4.31695867005718	-28.1624863685932	uc.4574	Insl6	(-661)	1,21	0,0248
"chr3"	31149367	31149366	0	"*"	10.2908740096211	-27.3809523809524	uc.4775	Cldn11	(-553),	1,24	0,0344
"chr3"	31149448	31149447	0	"*"	5.74620403231421	-33.6309523809524	uc.4776	Cldn11	(-472)	1,24	0,0344
"chrX"	36598112	36598111	0	"*"	2.98972078247031	27.7777777777778	uc.5209	Pgrmc1	(-94)	1,38	0,0384
"chr13"	36734972	36734971	0	"*"	7.08208677572473	30.4347826086957	uc.5222	Nrn1	(-496)	-1,23	0,0234
"chrX"	37126752	37126751	0	"*"	12.3778291241641	-34.4086021505376	uc.5272	Nkap	(-43)	-1,2	0,0107
"chr8"	40790512	40790511	0	"*"	3.18332641823745	25.2892960462874	uc.5531	Adam20	(-2761)	-1,25	0,0372
"chr13"	40859579	40859578	0	"*"	8.07924431840424	41.2554112554113	uc.5539	Gcnt2	(-175)	-1,44	0,0333
"chr11"	57832808	57832807	0	"*"	20.3883657257029	37.005577005577	uc.6685	Hand1	(-662)	-1,21	0,0359
"chr11"	57832838	57832837	0	"*"	13.954874343236	52.8030303030303	uc.6686	Hand1	(-692),	-1,21	0,0359
