chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	135916501	135916501	-	5.93630641366359e-18	6.14492211599137e-16	-43.1786216596343	uc.9	Tnnt2	(+80148)
chr10	52521522	52521522	-	1.61307104530525e-18	1.90927614283803e-16	40.0921658986175	uc.18	Nus1	(+103976)
chr11	103763081	103763081	-	7.58834389342315e-25	3.98389871048438e-22	46.9825566258787	uc.45	Wnt9b	(-13261)
chr13	114048347	114048347	-	4.20125850604164e-25	2.34187768854824e-22	-40.0935012333976	uc.69	Ndufs4	(+339911)
chr16	89954855	89954855	-	4.1943213626459e-26	2.9848483658389e-23	-44.9016563146998	uc.90	Krtap11-1	(-383673)
chr17	65558648	65558648	+	8.21811810124121e-18	8.19021408836083e-16	-44.1719884027212	uc.107	Vapa	(+54907)
chr19	52612076	52612076	+	4.2079504813853e-23	1.48113322187444e-20	-40.7665475798346	uc.132	Ins1	(+347754)
chr2	74201125	74201125	+	3.5110827662818e-21	7.77965567176059e-19	-46.426453143535	uc.140	Atp5g3	(-289801)
chr3	54632940	54632940	+	1.14413849054884e-30	2.04979450430927e-27	47.8174603174603	uc.154	Postn	(+271816)
chr7	138448688	138448688	-	1.10832413528346e-17	1.06848228011661e-15	42.1590486807878	uc.224	Mapk1ip1	(+397585)
